creator_id,join_date,region,category,partner_tier,first_half_views,second_half_views,active_months,support_cases,avg_resolution_hours,view_growth_pct
CR0001,2023-12-25,Other LATAM,Music,Growth,114323.66666666667,95701.66666666667,12,3,9.4,-16.288840747468445
CR0002,2022-06-12,Brazil,Gaming,Established,136540.5,158565.0,10,6,6.720000000000001,16.130378898568555
CR0003,2024-03-02,US & Canada,Lifestyle,Emerging,14950.333333333334,14379.0,8,9,22.599999999999998,-3.821542440525299
CR0004,2022-12-30,US & Canada,Education,Emerging,14343.333333333334,16596.166666666668,11,4,13.725000000000001,15.70648384847781
CR0005,2022-12-26,US & Canada,Gaming,Established,149400.16666666666,152055.5,12,3,8.866666666666667,1.7773295656742973
CR0006,2023-07-05,US & Canada,Music,Emerging,9036.666666666666,6961.666666666667,10,1,2.7,-22.96200663961637
CR0007,2023-11-04,Brazil,Entertainment,Growth,39000.0,58835.0,9,2,27.5,50.858974358974365
CR0008,2022-12-25,US & Canada,Education,Growth,53414.666666666664,50213.666666666664,9,1,67.2,-5.99273607748184
CR0009,2023-02-10,US & Canada,Lifestyle,Established,278248.0,219094.33333333334,12,1,4.4,-21.25933220244769
CR0010,2022-07-04,US & Canada,Education,Emerging,15462.833333333334,13658.333333333334,11,2,16.55,-11.669918190930941
CR0011,2023-03-27,US & Canada,Music,Established,314717.3333333333,399076.0,11,4,14.55,26.804582313017406
CR0012,2023-12-31,US & Canada,Entertainment,Emerging,16602.833333333332,14879.833333333334,10,4,10.35,-10.377746770129587
CR0013,2022-07-06,US & Canada,Lifestyle,Emerging,19737.666666666668,15224.666666666666,7,4,8.475,-22.8649114214784
CR0014,2022-07-05,US & Canada,Education,Growth,68263.5,62026.5,12,2,18.05,-9.13665428816278
CR0015,2024-03-04,US & Canada,Education,Emerging,10607.333333333334,11351.166666666666,8,4,15.075,7.012444220979185
CR0016,2023-06-16,Other LATAM,Music,Emerging,9360.5,11830.833333333334,9,3,15.566666666666668,26.39104036465289
CR0017,2024-04-30,US & Canada,Gaming,Growth,106975.83333333333,143498.66666666666,12,4,11.225000000000001,34.14120011529083
CR0018,2023-07-22,US & Canada,Education,Growth,67319.0,86835.33333333333,12,2,5.8,28.99082477953227
CR0019,2022-02-10,Mexico,Lifestyle,Emerging,20771.166666666668,14351.166666666666,10,3,8.033333333333333,-30.90823015879385
CR0020,2024-01-19,Mexico,Gaming,Growth,93345.5,129531.66666666667,11,1,14.0,38.7658394530713
CR0021,2024-08-01,US & Canada,Lifestyle,Emerging,14486.5,21856.666666666668,7,5,16.55,50.87610303846111
CR0022,2022-07-20,Brazil,Lifestyle,Emerging,10413.833333333334,10233.5,11,3,9.333333333333334,-1.731671014515954
CR0023,2022-01-27,US & Canada,Gaming,Established,288812.5,299383.1666666667,12,4,17.15,3.660044723364358
CR0024,2023-10-09,US & Canada,Music,Emerging,19593.0,21539.833333333332,10,4,11.850000000000001,9.936371833477937
CR0025,2022-02-18,Brazil,Lifestyle,Growth,71834.16666666667,88836.33333333333,12,0,,23.668634934629512
CR0026,2024-10-07,US & Canada,Entertainment,Emerging,10996.166666666666,14158.833333333334,11,3,10.033333333333333,28.76153811176623
CR0027,2022-08-17,Other LATAM,Entertainment,Established,223855.16666666666,259179.16666666666,12,2,12.8,15.77984574847874
CR0028,2023-12-18,Mexico,Entertainment,Growth,156503.83333333334,189518.5,12,3,12.766666666666666,21.09511694601729
CR0029,2022-12-12,US & Canada,Music,Emerging,16559.666666666668,9722.333333333334,11,6,13.14,-41.289075867066565
CR0030,2022-09-02,US & Canada,Gaming,Emerging,19192.5,18776.333333333332,10,2,19.65,-2.1683817463418933
CR0031,2024-08-31,Other LATAM,Music,Emerging,15141.5,18263.5,11,3,6.95,20.618829045999405
CR0032,2023-08-17,US & Canada,Education,Emerging,11727.333333333334,17026.0,10,0,,45.18219544085043
CR0033,2024-06-18,US & Canada,Lifestyle,Growth,64786.833333333336,88196.0,11,3,43.53333333333333,36.13259895915065
CR0034,2022-09-03,Brazil,Gaming,Established,156077.66666666666,162144.66666666666,11,1,2.3,3.887167286372383
CR0035,2022-02-21,Other LATAM,Gaming,Established,331710.0,436434.8333333333,11,1,21.6,31.57120175253484
CR0036,2023-12-22,US & Canada,Gaming,Emerging,7441.166666666667,9629.166666666666,11,5,20.125,29.403991309606454
CR0037,2023-10-21,US & Canada,Entertainment,Emerging,13339.5,14362.5,10,1,4.5,7.668953109187002
CR0038,2024-02-09,US & Canada,Gaming,Emerging,16508.666666666668,20539.333333333332,11,5,9.175,24.415458547025786
CR0039,2023-12-01,US & Canada,Music,Emerging,10083.333333333334,8622.0,9,3,11.833333333333334,-14.49256198347108
CR0040,2022-07-06,US & Canada,Gaming,Emerging,11339.5,11209.666666666666,9,7,10.116666666666667,-1.1449652395020409
