performance_month,active_creators,total_uploads,total_views,total_watch_hours,new_subscribers
2025-01,661,3497,58046480,6028725.2,561038
2025-02,647,3390,59122299,6049666.5,566367
2025-03,651,3397,57918098,5993038.3,546917
2025-04,653,3482,61445900,6419468.7,579994
2025-05,656,3432,60445260,6219708.6,566995
2025-06,653,3430,63778911,6722182.9,617063
2025-07,643,3357,64288337,6812528.0,622647
2025-08,668,3517,65072897,6818726.6,634466
2025-09,654,3503,66191067,7040755.7,611983
2025-10,662,3551,68218614,7075586.1,654470
2025-11,659,3456,67997165,7016667.4,660904
2025-12,652,3345,68909063,7055339.3,651970
