region,partner_tier,creators,active_creator_months,total_uploads,total_views,total_watch_hours,new_subscribers
Brazil,Emerging,64,636,2431,14823913,1555648.9,136862
Brazil,Established,25,289,2400,91346969,9625203.8,856429
Brazil,Growth,38,412,2459,41974317,4273326.1,415451
Mexico,Emerging,59,591,2305,13332427,1385662.9,127389
Mexico,Established,13,154,1312,51110092,5394338.5,498068
Mexico,Growth,32,359,2196,37812331,4024778.2,359249
Other LATAM,Emerging,41,399,1456,8660481,920286.4,81262
Other LATAM,Established,14,164,1438,57812991,6040651.0,550729
Other LATAM,Growth,31,341,2026,33650681,3505645.0,320516
US & Canada,Emerging,243,2377,9056,51334163,5319299.7,487273
US & Canada,Established,56,651,5437,206610362,21291818.1,1993086
US & Canada,Growth,134,1486,8841,152965364,15915734.7,1448500
