creator_id,join_date,region,category,partner_tier
CR0001,2023-12-25,Other LATAM,Music,Growth
CR0002,2022-06-12,Brazil,Gaming,Established
CR0003,2024-03-02,US & Canada,Lifestyle,Emerging
CR0004,2022-12-30,US & Canada,Education,Emerging
CR0005,2022-12-26,US & Canada,Gaming,Established
CR0006,2023-07-05,US & Canada,Music,Emerging
CR0007,2023-11-04,Brazil,Entertainment,Growth
CR0008,2022-12-25,US & Canada,Education,Growth
CR0009,2023-02-10,US & Canada,Lifestyle,Established
CR0010,2022-07-04,US & Canada,Education,Emerging
CR0011,2023-03-27,US & Canada,Music,Established
CR0012,2023-12-31,US & Canada,Entertainment,Emerging
CR0013,2022-07-06,US & Canada,Lifestyle,Emerging
CR0014,2022-07-05,US & Canada,Education,Growth
CR0015,2024-03-04,US & Canada,Education,Emerging
CR0016,2023-06-16,Other LATAM,Music,Emerging
CR0017,2024-04-30,US & Canada,Gaming,Growth
CR0018,2023-07-22,US & Canada,Education,Growth
CR0019,2022-02-10,Mexico,Lifestyle,Emerging
CR0020,2024-01-19,Mexico,Gaming,Growth
CR0021,2024-08-01,US & Canada,Lifestyle,Emerging
CR0022,2022-07-20,Brazil,Lifestyle,Emerging
CR0023,2022-01-27,US & Canada,Gaming,Established
CR0024,2023-10-09,US & Canada,Music,Emerging
CR0025,2022-02-18,Brazil,Lifestyle,Growth
CR0026,2024-10-07,US & Canada,Entertainment,Emerging
CR0027,2022-08-17,Other LATAM,Entertainment,Established
CR0028,2023-12-18,Mexico,Entertainment,Growth
CR0029,2022-12-12,US & Canada,Music,Emerging
CR0030,2022-09-02,US & Canada,Gaming,Emerging
CR0031,2024-08-31,Other LATAM,Music,Emerging
CR0032,2023-08-17,US & Canada,Education,Emerging
CR0033,2024-06-18,US & Canada,Lifestyle,Growth
CR0034,2022-09-03,Brazil,Gaming,Established
CR0035,2022-02-21,Other LATAM,Gaming,Established
CR0036,2023-12-22,US & Canada,Gaming,Emerging
CR0037,2023-10-21,US & Canada,Entertainment,Emerging
CR0038,2024-02-09,US & Canada,Gaming,Emerging
CR0039,2023-12-01,US & Canada,Music,Emerging
CR0040,2022-07-06,US & Canada,Gaming,Emerging
CR0041,2023-12-16,US & Canada,Education,Emerging
CR0042,2024-01-23,Mexico,Gaming,Emerging
CR0043,2022-08-24,US & Canada,Education,Growth
CR0044,2023-05-20,US & Canada,Music,Emerging
CR0045,2023-03-18,Brazil,Lifestyle,Growth
CR0046,2022-08-05,Mexico,Music,Established
CR0047,2024-06-08,US & Canada,Music,Emerging
CR0048,2022-03-01,Mexico,Gaming,Emerging
CR0049,2024-06-15,US & Canada,Music,Emerging
CR0050,2024-03-07,US & Canada,Gaming,Emerging
CR0051,2024-03-14,US & Canada,Education,Growth
CR0052,2022-05-23,US & Canada,Education,Emerging
CR0053,2022-06-29,Mexico,Gaming,Emerging
CR0054,2023-09-03,US & Canada,Gaming,Growth
CR0055,2023-12-02,Brazil,Entertainment,Growth
CR0056,2024-12-07,US & Canada,Education,Emerging
CR0057,2023-12-06,Brazil,Gaming,Established
CR0058,2022-12-30,US & Canada,Entertainment,Growth
CR0059,2024-10-05,US & Canada,Lifestyle,Growth
CR0060,2024-02-01,US & Canada,Entertainment,Growth
CR0061,2022-04-07,Mexico,Music,Emerging
CR0062,2022-12-25,US & Canada,Education,Growth
CR0063,2024-06-16,US & Canada,Education,Growth
CR0064,2022-01-27,Mexico,Gaming,Emerging
CR0065,2022-05-03,US & Canada,Entertainment,Established
CR0066,2022-08-22,US & Canada,Music,Emerging
CR0067,2022-09-02,US & Canada,Lifestyle,Growth
CR0068,2022-11-26,Other LATAM,Entertainment,Growth
CR0069,2024-05-30,US & Canada,Entertainment,Growth
CR0070,2024-06-12,Brazil,Music,Growth
CR0071,2023-04-20,US & Canada,Entertainment,Emerging
CR0072,2023-05-31,Mexico,Entertainment,Growth
CR0073,2024-04-12,US & Canada,Lifestyle,Emerging
CR0074,2022-01-17,US & Canada,Music,Growth
CR0075,2024-11-03,US & Canada,Entertainment,Emerging
CR0076,2022-11-30,US & Canada,Entertainment,Emerging
CR0077,2023-11-26,Other LATAM,Entertainment,Growth
CR0078,2024-06-29,Mexico,Music,Growth
CR0079,2023-05-23,US & Canada,Gaming,Emerging
CR0080,2023-09-05,US & Canada,Gaming,Growth
CR0081,2022-12-13,US & Canada,Gaming,Growth
CR0082,2022-04-02,US & Canada,Entertainment,Established
CR0083,2022-04-17,Mexico,Lifestyle,Established
CR0084,2022-03-06,Mexico,Entertainment,Growth
CR0085,2024-03-02,Mexico,Entertainment,Emerging
CR0086,2023-02-23,US & Canada,Entertainment,Growth
CR0087,2024-01-01,US & Canada,Entertainment,Growth
CR0088,2023-08-05,Mexico,Entertainment,Growth
CR0089,2022-01-19,US & Canada,Music,Emerging
CR0090,2024-06-06,US & Canada,Education,Emerging
CR0091,2024-04-22,US & Canada,Education,Growth
CR0092,2023-12-23,US & Canada,Lifestyle,Growth
CR0093,2024-03-25,Mexico,Education,Established
CR0094,2023-03-30,US & Canada,Education,Emerging
CR0095,2022-03-17,US & Canada,Lifestyle,Emerging
CR0096,2024-11-04,US & Canada,Gaming,Established
CR0097,2024-12-30,US & Canada,Music,Established
CR0098,2022-11-14,Mexico,Music,Growth
CR0099,2023-11-28,Brazil,Lifestyle,Growth
CR0100,2023-06-04,US & Canada,Gaming,Established
CR0101,2024-06-21,Brazil,Lifestyle,Emerging
CR0102,2023-12-13,US & Canada,Education,Emerging
CR0103,2022-01-21,US & Canada,Lifestyle,Emerging
CR0104,2023-07-14,US & Canada,Entertainment,Established
CR0105,2024-03-28,Brazil,Gaming,Emerging
CR0106,2024-02-03,Brazil,Lifestyle,Growth
CR0107,2022-09-21,US & Canada,Lifestyle,Growth
CR0108,2023-08-19,US & Canada,Education,Growth
CR0109,2023-09-14,US & Canada,Entertainment,Emerging
CR0110,2022-12-07,Other LATAM,Entertainment,Growth
CR0111,2023-03-15,US & Canada,Gaming,Growth
CR0112,2022-05-06,Brazil,Gaming,Established
CR0113,2024-06-12,Other LATAM,Entertainment,Emerging
CR0114,2023-08-24,Brazil,Education,Established
CR0115,2023-12-24,US & Canada,Gaming,Emerging
CR0116,2023-11-04,US & Canada,Lifestyle,Emerging
CR0117,2023-12-09,US & Canada,Gaming,Growth
CR0118,2023-08-28,US & Canada,Gaming,Emerging
CR0119,2023-03-28,Mexico,Education,Growth
CR0120,2022-12-25,US & Canada,Lifestyle,Emerging
CR0121,2023-10-01,Mexico,Entertainment,Emerging
CR0122,2022-05-13,US & Canada,Gaming,Growth
CR0123,2022-06-27,US & Canada,Entertainment,Growth
CR0124,2024-12-30,US & Canada,Lifestyle,Emerging
CR0125,2022-04-25,US & Canada,Lifestyle,Emerging
CR0126,2024-12-04,US & Canada,Entertainment,Emerging
CR0127,2022-12-26,Mexico,Gaming,Emerging
CR0128,2022-09-20,Other LATAM,Music,Growth
CR0129,2022-12-10,US & Canada,Lifestyle,Emerging
CR0130,2022-11-03,Brazil,Entertainment,Growth
CR0131,2024-12-18,Other LATAM,Entertainment,Emerging
CR0132,2022-01-27,US & Canada,Education,Emerging
CR0133,2022-10-24,US & Canada,Music,Growth
CR0134,2023-08-29,US & Canada,Gaming,Established
CR0135,2022-08-10,Brazil,Music,Emerging
CR0136,2023-07-25,US & Canada,Education,Growth
CR0137,2022-12-15,US & Canada,Entertainment,Growth
CR0138,2023-03-30,US & Canada,Gaming,Emerging
CR0139,2022-05-08,US & Canada,Music,Emerging
CR0140,2024-05-03,US & Canada,Lifestyle,Established
CR0141,2022-04-05,US & Canada,Education,Established
CR0142,2023-01-25,Other LATAM,Entertainment,Growth
CR0143,2024-06-27,US & Canada,Education,Emerging
CR0144,2023-01-24,US & Canada,Gaming,Emerging
CR0145,2024-01-27,Brazil,Entertainment,Established
CR0146,2022-05-27,Other LATAM,Music,Emerging
CR0147,2024-01-25,Other LATAM,Gaming,Emerging
CR0148,2022-07-04,Brazil,Lifestyle,Established
CR0149,2023-07-09,Brazil,Education,Emerging
CR0150,2023-12-26,US & Canada,Gaming,Emerging
CR0151,2023-12-01,Mexico,Entertainment,Growth
CR0152,2022-03-01,US & Canada,Education,Established
CR0153,2023-09-27,US & Canada,Education,Emerging
CR0154,2023-12-16,US & Canada,Lifestyle,Emerging
CR0155,2023-12-26,US & Canada,Music,Established
CR0156,2024-03-18,US & Canada,Gaming,Growth
CR0157,2022-01-05,US & Canada,Gaming,Emerging
CR0158,2022-03-08,Other LATAM,Lifestyle,Established
CR0159,2024-12-25,US & Canada,Entertainment,Emerging
CR0160,2022-01-20,Mexico,Education,Emerging
CR0161,2023-07-02,US & Canada,Lifestyle,Emerging
CR0162,2024-08-06,US & Canada,Entertainment,Growth
CR0163,2022-05-12,Other LATAM,Lifestyle,Established
CR0164,2022-01-25,US & Canada,Lifestyle,Emerging
CR0165,2022-11-20,Mexico,Lifestyle,Emerging
CR0166,2024-08-04,US & Canada,Gaming,Emerging
CR0167,2022-12-13,Brazil,Entertainment,Emerging
CR0168,2024-12-12,Mexico,Music,Emerging
CR0169,2024-01-27,Brazil,Education,Established
CR0170,2023-12-06,US & Canada,Lifestyle,Emerging
CR0171,2023-08-15,US & Canada,Lifestyle,Growth
CR0172,2023-08-07,Brazil,Entertainment,Established
CR0173,2023-05-29,US & Canada,Lifestyle,Emerging
CR0174,2024-05-11,US & Canada,Education,Emerging
CR0175,2023-05-06,Brazil,Gaming,Growth
CR0176,2022-04-27,US & Canada,Lifestyle,Emerging
CR0177,2023-03-06,Mexico,Music,Emerging
CR0178,2024-04-17,Other LATAM,Music,Established
CR0179,2023-10-31,US & Canada,Entertainment,Growth
CR0180,2022-09-21,US & Canada,Music,Growth
CR0181,2022-08-13,US & Canada,Education,Emerging
CR0182,2023-02-20,Other LATAM,Entertainment,Growth
CR0183,2023-01-06,US & Canada,Lifestyle,Emerging
CR0184,2023-09-18,US & Canada,Music,Established
CR0185,2022-11-08,US & Canada,Gaming,Growth
CR0186,2022-11-10,US & Canada,Gaming,Emerging
CR0187,2022-07-23,US & Canada,Music,Established
CR0188,2022-11-16,US & Canada,Lifestyle,Established
CR0189,2022-08-04,US & Canada,Entertainment,Established
CR0190,2023-07-13,US & Canada,Education,Growth
CR0191,2024-05-16,US & Canada,Lifestyle,Growth
CR0192,2023-04-22,US & Canada,Entertainment,Growth
CR0193,2024-07-28,Brazil,Gaming,Growth
CR0194,2024-09-04,Brazil,Entertainment,Emerging
CR0195,2023-09-22,US & Canada,Music,Growth
CR0196,2022-09-28,Brazil,Gaming,Growth
CR0197,2024-01-16,US & Canada,Gaming,Established
CR0198,2023-07-03,Other LATAM,Music,Emerging
CR0199,2022-02-26,Brazil,Entertainment,Established
CR0200,2024-11-27,US & Canada,Education,Growth
CR0201,2023-09-07,US & Canada,Entertainment,Emerging
CR0202,2024-12-29,Mexico,Education,Emerging
CR0203,2022-09-10,Mexico,Gaming,Emerging
CR0204,2024-10-13,Brazil,Lifestyle,Emerging
CR0205,2023-03-02,US & Canada,Music,Emerging
CR0206,2023-10-03,Mexico,Gaming,Emerging
CR0207,2022-06-27,Brazil,Lifestyle,Emerging
CR0208,2023-01-22,US & Canada,Lifestyle,Growth
CR0209,2024-03-26,Other LATAM,Entertainment,Growth
CR0210,2024-07-24,Other LATAM,Entertainment,Growth
CR0211,2022-05-31,US & Canada,Gaming,Established
CR0212,2024-08-25,US & Canada,Education,Emerging
CR0213,2024-07-11,Other LATAM,Gaming,Growth
CR0214,2024-04-05,US & Canada,Gaming,Emerging
CR0215,2024-01-07,US & Canada,Entertainment,Emerging
CR0216,2023-04-12,US & Canada,Entertainment,Emerging
CR0217,2023-08-02,Mexico,Entertainment,Established
CR0218,2022-06-10,Brazil,Entertainment,Emerging
CR0219,2023-11-22,Other LATAM,Entertainment,Emerging
CR0220,2023-10-05,US & Canada,Education,Emerging
CR0221,2024-03-04,US & Canada,Entertainment,Emerging
CR0222,2024-06-29,Other LATAM,Music,Emerging
CR0223,2024-05-07,US & Canada,Music,Established
CR0224,2023-09-27,US & Canada,Gaming,Emerging
CR0225,2023-11-19,Other LATAM,Education,Emerging
CR0226,2024-12-28,US & Canada,Entertainment,Growth
CR0227,2024-02-24,Brazil,Gaming,Emerging
CR0228,2024-03-10,US & Canada,Gaming,Emerging
CR0229,2022-08-02,Brazil,Gaming,Emerging
CR0230,2022-10-01,Mexico,Gaming,Growth
CR0231,2024-06-09,US & Canada,Music,Emerging
CR0232,2022-12-25,US & Canada,Gaming,Emerging
CR0233,2024-03-01,US & Canada,Lifestyle,Emerging
CR0234,2024-01-23,Brazil,Education,Growth
CR0235,2022-12-29,Other LATAM,Entertainment,Emerging
CR0236,2024-06-23,Brazil,Entertainment,Emerging
CR0237,2024-07-29,US & Canada,Entertainment,Emerging
CR0238,2024-03-06,US & Canada,Lifestyle,Established
CR0239,2022-11-20,US & Canada,Gaming,Emerging
CR0240,2024-05-15,US & Canada,Music,Emerging
CR0241,2022-09-13,US & Canada,Education,Emerging
CR0242,2024-11-10,Brazil,Gaming,Growth
CR0243,2024-06-06,US & Canada,Lifestyle,Growth
CR0244,2024-11-20,Other LATAM,Entertainment,Growth
CR0245,2022-05-30,US & Canada,Entertainment,Growth
CR0246,2023-10-01,Mexico,Gaming,Emerging
CR0247,2024-06-20,Brazil,Lifestyle,Growth
CR0248,2022-12-29,US & Canada,Lifestyle,Emerging
CR0249,2023-08-23,US & Canada,Education,Emerging
CR0250,2024-12-05,US & Canada,Lifestyle,Emerging
CR0251,2024-06-14,US & Canada,Gaming,Established
CR0252,2022-04-24,US & Canada,Education,Established
CR0253,2023-06-30,US & Canada,Education,Growth
CR0254,2024-07-10,Other LATAM,Entertainment,Emerging
CR0255,2024-01-17,US & Canada,Gaming,Emerging
CR0256,2024-12-21,US & Canada,Education,Growth
CR0257,2022-09-20,Other LATAM,Entertainment,Growth
CR0258,2023-05-27,Other LATAM,Gaming,Established
CR0259,2024-07-24,US & Canada,Education,Growth
CR0260,2024-03-06,US & Canada,Music,Emerging
CR0261,2022-11-22,Other LATAM,Entertainment,Growth
CR0262,2023-07-18,US & Canada,Music,Emerging
CR0263,2024-08-19,US & Canada,Entertainment,Emerging
CR0264,2022-12-25,US & Canada,Entertainment,Emerging
CR0265,2022-06-17,Mexico,Education,Emerging
CR0266,2023-04-03,Brazil,Lifestyle,Growth
CR0267,2022-12-27,US & Canada,Lifestyle,Emerging
CR0268,2024-03-01,US & Canada,Music,Emerging
CR0269,2023-12-09,US & Canada,Music,Emerging
CR0270,2022-08-14,US & Canada,Music,Growth
CR0271,2022-09-28,US & Canada,Music,Emerging
CR0272,2022-04-05,Other LATAM,Education,Growth
CR0273,2024-11-20,US & Canada,Music,Established
CR0274,2022-09-04,Mexico,Entertainment,Emerging
CR0275,2022-11-25,Brazil,Music,Growth
CR0276,2024-03-21,US & Canada,Gaming,Emerging
CR0277,2023-07-14,US & Canada,Education,Growth
CR0278,2022-01-15,US & Canada,Entertainment,Emerging
CR0279,2023-09-09,US & Canada,Gaming,Established
CR0280,2022-05-14,US & Canada,Gaming,Growth
CR0281,2024-03-20,US & Canada,Gaming,Growth
CR0282,2023-07-20,Brazil,Gaming,Emerging
CR0283,2023-11-08,Mexico,Music,Growth
CR0284,2024-04-15,US & Canada,Music,Growth
CR0285,2022-05-10,Brazil,Entertainment,Emerging
CR0286,2022-02-13,Brazil,Gaming,Emerging
CR0287,2022-04-24,Brazil,Education,Emerging
CR0288,2024-03-14,US & Canada,Music,Emerging
CR0289,2022-10-07,US & Canada,Entertainment,Established
CR0290,2023-05-14,US & Canada,Gaming,Growth
CR0291,2024-11-23,Mexico,Education,Emerging
CR0292,2023-11-01,Other LATAM,Lifestyle,Emerging
CR0293,2022-08-11,US & Canada,Lifestyle,Emerging
CR0294,2022-05-26,Mexico,Entertainment,Emerging
CR0295,2022-08-30,US & Canada,Entertainment,Emerging
CR0296,2024-03-21,US & Canada,Lifestyle,Growth
CR0297,2022-07-22,US & Canada,Music,Emerging
CR0298,2023-11-28,Brazil,Gaming,Growth
CR0299,2024-07-24,Brazil,Gaming,Emerging
CR0300,2022-09-18,US & Canada,Education,Emerging
CR0301,2023-07-17,US & Canada,Entertainment,Emerging
CR0302,2024-07-01,Other LATAM,Music,Emerging
CR0303,2022-03-12,Brazil,Entertainment,Growth
CR0304,2022-10-23,Brazil,Entertainment,Emerging
CR0305,2023-12-23,US & Canada,Lifestyle,Emerging
CR0306,2023-08-15,US & Canada,Lifestyle,Emerging
CR0307,2022-08-23,US & Canada,Music,Growth
CR0308,2022-04-18,US & Canada,Education,Emerging
CR0309,2022-12-22,US & Canada,Lifestyle,Established
CR0310,2024-07-03,Mexico,Lifestyle,Emerging
CR0311,2024-01-07,US & Canada,Music,Emerging
CR0312,2024-05-22,US & Canada,Lifestyle,Emerging
CR0313,2024-07-19,Other LATAM,Education,Established
CR0314,2024-04-14,US & Canada,Music,Growth
CR0315,2024-10-18,Brazil,Gaming,Growth
CR0316,2023-07-19,Mexico,Entertainment,Growth
CR0317,2024-08-10,Brazil,Gaming,Emerging
CR0318,2023-02-01,US & Canada,Entertainment,Emerging
CR0319,2022-09-20,Brazil,Entertainment,Emerging
CR0320,2022-08-20,Other LATAM,Education,Established
CR0321,2024-11-13,Brazil,Gaming,Growth
CR0322,2023-12-25,US & Canada,Music,Emerging
CR0323,2024-06-15,Brazil,Entertainment,Emerging
CR0324,2023-05-01,US & Canada,Education,Emerging
CR0325,2023-09-11,US & Canada,Music,Established
CR0326,2022-04-15,Brazil,Music,Emerging
CR0327,2022-02-08,US & Canada,Education,Emerging
CR0328,2023-05-12,Brazil,Entertainment,Emerging
CR0329,2022-04-05,Brazil,Education,Emerging
CR0330,2023-08-02,US & Canada,Music,Emerging
CR0331,2023-03-03,Other LATAM,Gaming,Emerging
CR0332,2024-09-29,Brazil,Music,Growth
CR0333,2023-07-21,Mexico,Music,Emerging
CR0334,2024-09-12,US & Canada,Entertainment,Emerging
CR0335,2023-06-28,US & Canada,Gaming,Emerging
