creator_id,performance_month,uploads,views,watch_hours,new_subscribers
CR0001,2025-01,5,104484,10627.9,1372
CR0001,2025-02,5,112364,16827.4,1047
CR0001,2025-03,7,113285,10584.3,1406
CR0001,2025-04,8,89397,9860.9,1122
CR0001,2025-05,3,120719,8840.6,1727
CR0001,2025-06,4,145693,10086.7,2159
CR0001,2025-07,5,77146,5814.2,846
CR0001,2025-08,5,81166,7462.1,989
CR0001,2025-09,9,110179,14187.9,1030
CR0001,2025-10,4,108300,10012.5,732
CR0001,2025-11,12,108697,8741.5,1366
CR0001,2025-12,8,88722,7041.6,605
CR0002,2025-01,7,172496,12150.8,2532
CR0002,2025-02,9,172748,17936.7,2302
CR0002,2025-03,0,0,0.0,0
CR0002,2025-04,10,137869,8132.5,1120
CR0002,2025-05,7,166662,18980.6,1833
CR0002,2025-06,7,169468,22884.7,1931
CR0002,2025-07,9,183175,27407.9,1989
CR0002,2025-08,5,124547,13737.4,928
CR0002,2025-09,0,0,0.0,0
CR0002,2025-10,7,198638,20046.4,2866
CR0002,2025-11,12,102339,14913.4,1511
CR0002,2025-12,7,342691,37767.5,4032
CR0003,2025-01,4,18349,2075.5,264
CR0003,2025-02,0,0,0.0,0
CR0003,2025-03,6,21853,2138.3,129
CR0003,2025-04,7,24445,2601.9,188
CR0003,2025-05,5,25055,2482.9,340
CR0003,2025-06,0,0,0.0,0
CR0003,2025-07,0,0,0.0,0
CR0003,2025-08,5,17862,2344.8,191
CR0003,2025-09,6,26919,1760.8,321
CR0003,2025-10,2,19397,2206.1,229
CR0003,2025-11,0,0,0.0,0
CR0003,2025-12,4,22096,2956.0,304
CR0004,2025-01,5,14841,967.9,201
CR0004,2025-02,5,24411,1449.6,194
CR0004,2025-03,2,14185,884.3,146
CR0004,2025-04,0,0,0.0,0
CR0004,2025-05,3,16871,1770.3,88
CR0004,2025-06,2,15752,2258.9,187
CR0004,2025-07,4,16982,2234.9,140
CR0004,2025-08,3,13710,1954.3,88
CR0004,2025-09,3,21997,1870.0,277
CR0004,2025-10,3,13727,1898.7,124
CR0004,2025-11,3,7327,453.7,103
CR0004,2025-12,5,25834,1612.6,222
CR0005,2025-01,10,96673,13281.0,1445
CR0005,2025-02,7,194021,12536.6,874
CR0005,2025-03,7,116687,10808.8,764
CR0005,2025-04,5,160260,23434.7,2190
CR0005,2025-05,14,169707,12800.8,1185
CR0005,2025-06,8,159053,11556.3,1165
CR0005,2025-07,8,171675,22151.4,2173
CR0005,2025-08,6,98426,6489.9,922
CR0005,2025-09,6,187657,11824.2,1120
CR0005,2025-10,5,160134,16058.8,2141
CR0005,2025-11,7,115969,16876.3,735
CR0005,2025-12,8,178472,14067.9,1361
CR0006,2025-01,1,10619,1370.3,94
CR0006,2025-02,3,7066,429.5,38
CR0006,2025-03,5,7684,962.3,109
CR0006,2025-04,2,5084,499.6,62
CR0006,2025-05,4,13466,1254.3,144
CR0006,2025-06,3,10301,1026.8,139
CR0006,2025-07,3,10274,797.2,105
CR0006,2025-08,3,12291,1536.8,173
CR0006,2025-09,0,0,0.0,0
CR0006,2025-10,6,8458,1139.1,111
CR0006,2025-11,2,10747,627.7,67
CR0006,2025-12,0,0,0.0,0
CR0007,2025-01,0,0,0.0,0
CR0007,2025-02,5,62481,6514.7,685
