case_id,creator_id,opened_date,case_type,case_channel,resolution_hours,first_contact_resolved,satisfaction_score,case_status
SC00001,CR0001,2025-08-25,Technical Issue,Phone,8.6,1,4.0,Closed
SC00002,CR0001,2025-03-25,Monetization,Chat,13.4,0,5.0,Closed
SC00003,CR0001,2025-05-06,Policy Question,Email,6.2,1,5.0,Closed
SC00004,CR0002,2025-06-18,Monetization,Email,6.7,1,5.0,Closed
SC00005,CR0002,2025-04-14,Policy Question,Email,10.6,0,4.0,Closed
SC00006,CR0002,2025-08-26,Technical Issue,Phone,7.6,1,5.0,Closed
SC00007,CR0002,2025-02-21,Policy Question,Email,,0,,Open
SC00008,CR0002,2025-10-04,Monetization,Email,6.1,1,4.0,Closed
SC00009,CR0002,2025-09-03,Account Access,Chat,2.6,1,5.0,Closed
SC00010,CR0003,2025-09-23,Policy Question,Chat,11.5,1,5.0,Closed
SC00011,CR0003,2025-01-27,Technical Issue,Phone,,0,,Open
SC00012,CR0003,2025-06-09,Technical Issue,Phone,12.8,1,3.0,Closed
SC00013,CR0003,2025-10-02,Monetization,Chat,37.5,1,3.0,Closed
SC00014,CR0003,2025-04-29,Account Access,Phone,19.0,1,4.0,Closed
SC00015,CR0003,2025-10-19,Policy Question,Chat,47.1,1,3.0,Closed
SC00016,CR0003,2025-12-02,Account Access,Email,7.7,0,5.0,Closed
SC00017,CR0003,2025-04-07,Policy Question,Phone,,0,,Open
SC00018,CR0003,2025-11-14,Account Access,Phone,,0,,Open
SC00019,CR0004,2025-03-22,Technical Issue,Email,23.8,1,4.0,Closed
SC00020,CR0004,2025-02-12,Account Access,Phone,15.3,0,5.0,Closed
SC00021,CR0004,2025-03-21,Policy Question,Chat,5.9,1,4.0,Closed
SC00022,CR0004,2025-03-17,Analytics Question,Email,9.9,1,5.0,Closed
SC00023,CR0005,2025-05-15,Analytics Question,Phone,7.2,1,4.0,Closed
SC00024,CR0005,2025-04-18,Analytics Question,Email,14.3,0,4.0,Closed
SC00025,CR0005,2025-01-05,Monetization,Email,5.1,1,5.0,Closed
SC00026,CR0006,2025-06-24,Policy Question,Phone,2.7,1,5.0,Closed
SC00027,CR0007,2025-05-14,Monetization,Chat,50.7,0,3.0,Closed
SC00028,CR0007,2025-06-05,Monetization,Phone,4.3,1,5.0,Closed
SC00029,CR0008,2025-08-29,Monetization,Chat,67.2,1,1.0,Closed
SC00030,CR0009,2025-08-19,Analytics Question,Chat,4.4,0,4.0,Closed
SC00031,CR0010,2025-01-23,Monetization,Chat,26.1,0,2.0,Closed
SC00032,CR0010,2025-05-26,Policy Question,Chat,7.0,1,4.0,Closed
SC00033,CR0011,2025-07-02,Policy Question,Email,37.2,0,4.0,Closed
SC00034,CR0011,2025-07-02,Analytics Question,Email,11.3,1,5.0,Closed
SC00035,CR0011,2025-10-12,Analytics Question,Chat,5.0,1,5.0,Closed
SC00036,CR0011,2025-07-25,Technical Issue,Email,4.7,1,5.0,Closed
SC00037,CR0012,2025-12-07,Monetization,Phone,14.8,1,5.0,Closed
SC00038,CR0012,2025-02-08,Monetization,Phone,4.4,0,4.0,Closed
SC00039,CR0012,2025-03-11,Monetization,Phone,16.0,1,5.0,Closed
SC00040,CR0012,2025-02-13,Account Access,Chat,6.2,0,4.0,Closed
SC00041,CR0013,2025-09-02,Technical Issue,Chat,17.7,0,4.0,Closed
SC00042,CR0013,2025-11-16,Monetization,Email,4.6,0,4.0,Closed
SC00043,CR0013,2025-12-22,Policy Question,Chat,5.9,1,5.0,Closed
SC00044,CR0013,2025-08-18,Account Access,Email,5.7,0,5.0,Closed
SC00045,CR0014,2025-04-02,Technical Issue,Chat,30.1,0,4.0,Closed
SC00046,CR0014,2025-09-27,Account Access,Chat,6.0,1,4.0,Closed
SC00047,CR0015,2025-04-07,Policy Question,Chat,6.5,1,3.0,Closed
SC00048,CR0015,2025-11-24,Technical Issue,Email,22.0,1,4.0,Closed
SC00049,CR0015,2025-06-01,Account Access,Email,12.3,1,4.0,Closed
SC00050,CR0015,2025-10-04,Analytics Question,Chat,19.5,0,3.0,Closed
SC00051,CR0016,2025-10-17,Account Access,Phone,4.0,0,5.0,Closed
SC00052,CR0016,2025-04-09,Monetization,Email,3.5,1,5.0,Closed
SC00053,CR0016,2025-09-13,Technical Issue,Email,39.2,1,4.0,Closed
